"ID"|"NAME"|"SURNAME"|"BIRTH_DATE"
"12378687"|"Patricia A. (Patricia Ann)"|"Turner|"23/1/2002"
"12660750"|"Charles Edwin"|"Jones|"23/1/2003"
"12661729"|"Leslie V."|"Tischauser|"23/1/2004"
"13043875"|"Lisa"|"Bier|"23/1/2005"
"6426951"|"Betty Kaplan"|"Gubert|"23/1/2006"
"9403015"|"Betty Kaplan"|"Gubert|"23/1/2007"
"9401659"|"Jon Michael"|"Spencer|"23/1/2008"
"9404078"|"Dana A."|"Williams|"23/1/2009"
"10410954"|"Craig Hansen"|"Werner|"23/1/2010"
"18269958"|"Ethelene"|"Whitmire|"23/1/2011"
"19610402"|"Dallas"|"Hanbury|"23/1/2012"
"19610919"|"Dallas"|"Hanbury|"23/1/2013"
"17618617"|"Cheryl"|"Knott|"23/1/2014"
"19450407"|"Mike"|"Selby|"23/1/2015"
"19601081"|"Mike"|"Selby|"23/1/2016"
"19603995"|"Mike"|"Selby|"23/1/2017"
"7426812"|"Elizabeth"|"McHenry|"23/1/2018"
"11726575"|"Elizabeth"|"McHenry|"23/1/2019"
"13581719"|"Karla F. C."|"Holloway|"23/1/2020"
"12656085"|"Alfred A."|"Moss|"23/1/2021"
"12656770"|"Jean-Charles"|"Houzeau|"23/1/2022"
"10393889"|"Jean-Charles"|"Houzeau|"23/1/2023"
"12656262"|"Jean-Charles"|"Houzeau|"23/1/2024"
"14617247"|"Art"|"Rust|"23/1/2025"
"20041194"|"Yu"|"Sasaki|"23/1/2026"
"20042884"|"Yu"|"Sasaki|"23/1/2027"
"16033422"|"Lawrence Allen"|"Eldridge|"23/1/2028"
"17985693"|"Thomas J."|"Hrach|"23/1/2029"
"18756928"|"Sheila Dean"|"Brooks|"23/1/2030"
"18757853"|"Sheila Dean"|"Brooks|"23/1/2031"
"19858423"|"Sheila Dean"|"Brooks|"23/1/2032"
"7133937"|"Mary Kemp"|"Davis|"23/1/2033"
"13552825"|"Gene Andrew"|"Jarrett|"23/1/2034"
"17627508"|"Tiya"|"Miles|"23/1/2035"
"18384906"|"Tiya"|"Miles|"23/1/2036"


